,,Travel Overall Cost:,"$26,400.69","€23,315.30",Both Tabs:,#REF!,#REF!,,Spain Overall Cost:,#REF!,#REF!,,,,,,,,,
,,,,,,,,,,,,,,Year,Total $ Spent Trips,Total euros Spent,,Year,Total $ Spent Spain,Total euros Spent
,Greece - 28 May - 31 May 2027,,,,,,,,,,,,,2027,"$3,840.13","€3,399.90",,,,
Date,Location/Descr,Mode,Paid,Total Cash,Total Euros,Add'l Info,Start Time,End Time,Duration,Dist,Stops,Remarks,,2026,"$12,504.24","€10,871.30",,2026,#REF!,#REF!
28-May-2027,,Adult,Paid,$0.00,€0.00,STR to Lisbon (Eurowings),Adult,Paid,$0.00,€159.99,,,,2025,"$8,830.67","€7,774.00",,2025,#REF!,#REF!
Thurs,,Adult,Paid,$0.00,€0.00,1035 - 1235,Adult,Paid,$184.00,€159.99,,,,2024,"$5,065.78","€4,670.00",,2024,#REF!,#REF!
,,Adult,Paid,$0.00,€0.00,,Adult,Paid,$184.00,€159.99,,,,2023,,,,2023,#REF!,#REF!
,,Children,Paid,$0.00,€0.00,,Children,Paid,$184.00,€159.99,,,,Total:,"$26,400.69","€23,315.30",,Total:,#REF!,#REF!
,,Children,Paid,$0.00,€0.00,,Children,Paid,$184.00,€159.99,,,,,,,,,,
,,,Total:,$0.00,€0.00,,,Total:,$736.00,€799.95,,,,,,,,,,
28-May-2027,Bus ride to hotel,,,,,,,,,,,,,,,,,,,
Thurs,IHG - Príncipe Real,Hotel,,,,,,,,,,,,,,,,,,
,IHG - Príncipe Real,Hotel,,,,,,,,,,,,,,,,,,
,Restaurant,,,$140.00,€130.00,,,,,,,,,,,,,,,
,Entertainment,,,$60.00,€45.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
29-May-2027,,Ferry,,,,,,,,,,,,,,,,,,
,,Hotel,,,,,,,,,,,,,,,,,,
,Restaurant,,,$140.00,€130.00,,,,,,,,,,,,,,,
,Entertainment,,,$60.00,€45.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
30-May-2027,,Hotel,,,,,,,,,,,,,,,,,,
Sat,Restaurant,,,$140.00,€130.00,,,,,,,,,,,,,,,
,Entertainment,,,$60.00,€45.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
