Site,Pts needed,Valuation,Total airfare/Cash,"Taxes/fees/
annual fees",Total overall pts spent,Airport
Panama Trip Dec 13 - 27 2017,,,,,,TPA - PTY
Chase,"180,000",0.0125,"$2,250.00",,"180,000",
Spain Trip Dec 2018,,,,,,TPA - BC
Delta,"580,000",0.0151,"$8,763.00",$281.75,,
Spain Trip 19 June - 31 July 2023,,,,,,STR - AGP
Description,Person/s,Paid,Total Cash,Total Euros,Remarks,
Eurowings,Family,Yes,"$1,210.00","€1,137.00",,
Eurowings,Vic,Yes,$302.00,€262.00,,
Euros Sent,Juan,Yes,"$1,150.00","€1,080.00",,
Euros on Hand,Johana,Yes,$438.00,€400.00,,
Summer Camp,Kids,Yes,$470.00,€424.00,,
Sevilla Hotel,Vic/Johana,Yes,$80.00,€76.00,,
Sevilla Travel,,,$107.00,€100.00,,
Euros,,,$281.00,€200.00,,
,,Total Cost:,"$4,038.00","€3,679.00",,
Spain Trip 28 June - 10 July 2024,,,,,,STR - AGP
Description,Days/Desc,Paid,Total Cash,Total Euros,Remarks,
Eurowings,Family,Yes,"$1,505.00","€1,465.00",,
Rental Car,,Yes,$231.00,€220.00,Malagacar.com Booking# 1545374,
Fuel,,Yes,$152.00,€148.00,,
Summer Camp,Kids,Yes,$451.00,€420.00,,
Euros on Hand,Cash,Yes,$270.00,€260.00,,
Restaurants,,Yes,$235.00,€225.00,,
1July expenses,,Yes,$55.00,€50.00,,
Granda Hotel,1 day,Yes,$90.00,€80.00,"Cancel by 30Jun24; Hotel Guadalupe, awaiting $50 credit thru Chase travel",
Granda,,,$66.00,€60.00,Parking $21 across street for 24 hrs,
Madrid Hotel,2 days,Yes,$43.00,€40.00,Vic Marriott / Jo IHG free breakfast,Parking @ 40 Euros & 50 Euros for Ben
Madrid,,,$250.00,€240.00,Parking offsite 34 euros,
Cordoba Hotel,1 day,Yes,$102.00,€95.24,Cancel by 3Jul24; Eurostars Maimónides; should include breakfast/Parking included thru hotel website,
Cordoba,,,$130.00,€115.00,Free breakfast & parking,
6/9July expenses,,,$78.00,€70.00,,
Wise Euros,,,$219.00,€200.00,,
Entertainment,,,$111.00,€105.00,,
,,Total Cost:,"$3,988.00","€3,793.24",,
Spain Trip (17 Dec 25) - (26 Dec 25),,,,,,STR - AGP
Description,Days/Desc,Paid,Total Cash,Total Euros,Remarks,
Eurowings,,Yes,$695.00,€641.00,mom / Ben,
Eurowings,,Yes,$793.00,€732.00,Dad / Leo / Hannah,
Christmas gifts,,Yes,$586.00,€500.00,,
Euros on Hand,,Yes,$238.00,€200.00,,
Restaurants,,Yes,$267.00,€228.00,,
Stay,,Yes,$474.00,€400.00,,
Grocery,,Yes,$119.00,€100.00,,
,,Total Cost:,"$3,172.00","€2,801.00",,
,,,,,,
Spain Trip (16 Dec 26) - (26 Dec 26),,,,,,STR - AGP
Description,Days/Desc,Paid,Total Cash,Total Euros,Remarks,
Vueling (BCN),,Yes,$295.27,€248.00,mom / Ben,
Food (BCN),,,$240.00,€200.00,,
Cash (BCN),,,$240.00,€200.00,,
Eurowings,,Yes,$752.00,€641.00,mom / Ben,
Eurowings,,Yes,$788.00,€671.00,Dad / Leo / Hannah,
Christmas gifts,,,$586.00,€500.00,,
Euros on Hand,,,$238.00,€200.00,,
Restaurants,,,$267.00,€228.00,,
Stay,,,$474.00,€400.00,,
Resort,,Yes,$53.00,€40.00,,
Grocery,,,$119.00,€100.00,,
,,Total Cost:,"$4,052.27","€3,428.00",,
,,4 years Total Cost:,"$15,250.27","€13,701.24",,
